tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,plot
tt0000028,movie,Fishing for Goldfish,La pêche aux poissons rouges,1895,1,"Documentary,Short",5.1,1132.0,nm0525910,A man (Auguste Lumiere) holds his baby daughter (Andrée Lumiere) on a table next to a bowl containing goldfish.  The baby begins putting her hand into the water while the man supports her.  The scene is filmed by a stationary camera behind the table.
tt0000029,movie,Baby's Meal,Repas de bébé,1895,1,"Documentary,Short",5.9,3505.0,nm0525910,"Auguste Lumière, his wife Marguerite, and their daughter Andrée sit at a dining table in the garden outside a house. The scene connotes the culture of a bourgeois family, with a silver tea service, a bottle of cognac, and fine clothing. Papa twice spoon-feeds their baby while Mama prepares and drinks a cup of tea. Both dote on the child and talk to her throughout. He then gives the infant a biscuit (cookie), which she seemingly offers to someone off-camera. The film ends as Auguste offers bébé a third spoonful."
tt0000030,movie,Rough Sea at Dover,Rough Sea at Dover,1895,1,"Documentary,Short",5.2,888.0,"nm0010291,nm0666972","The film consists of two distinct shots of different locations which have been edited together. It is not possible to tell with certainty whether these were edited together in the original release version. The first shot is of the rough sea as heavy waves crash against Admiralty Pier in Dover. The second shot is from a different location along a riverbank showing a view of fast-flowing water. It has been speculated that this second half of the footage has been taken from Niagara Falls No. 1: The Upper River Just Above The Falls, a film made by Acres late in 1895."
tt0000033,movie,Horse Trick Riders,La voltige,1895,1,"Comedy,Documentary,Short",5.5,1074.0,nm0525910,"Three men and a horse stand in a field. The first man in white holds the reins of the horse, the second man in black stands observing while the third man attempts to mount the horse. After six unsuccessful attempts he is finally able to seat himself and is set to ride off sidesaddle."
tt0000036,movie,Awakening of Rip,Awakening of Rip,1896,1,"Drama,Short",4.4,622.0,nm0005690,"The film features Joseph Jefferson as a neer-do-well, who wanders off one day into the Catskill Mountains, where he meets a group of odd men. He drinks some of their mysterious brew and passes out. When he wakes up, he finds that 20 years have passed. The film is compiled from a series of films produced in 1896, which consisted of:Rips Toast (AM&B Cat. #45)Rip Meets the Dwarf (AM&B Cat. #46)Rip and the DwarfRip Leaving Sleepy Hollow (AM&B Cat. #52)Rips Toast to Hudson and CrewRips Twenty Years Sleep (AM&B Cat. #50)Awakening of RipRip Passing Over HillThese films were added to the National Film Registry by the Library of Congress in 1995 and featured on the DVD release More Treasures from American Film Archives, 1894-1931."
tt0000038,movie,The Ball Game,The Ball Game,1898,\N,"Documentary,Short,Sport",4.2,211.0,nm0374658,The film contains footage of an 1898 baseball game between Reading Coal Heavers and the Newark Bears. The camera is situated twenty feet from the bag and a short extract of the game is then filmed.
tt0000038,movie,The Ball Game,The Ball Game,1898,\N,"Documentary,Short,Sport",4.2,211.0,nm0374658,The film contains footage of an 1898 baseball game between Reading Coal Heavers and the Newark Bears. The camera is situated twenty feet from the bag and a short extract of the game is then filmed.
tt0000041,movie,Bataille de neige,Bataille de neige,1897,1,"Comedy,Documentary,Short",6.7,1987.0,nm0525910,"The camera is centered on a pathway made through a snow-covered city street. On both side of the pathway, several men and women are engaged in a snowball fight. A cyclist rides into the path of the fight, and is hit by snowballs, causing him to lose control of his bicycle and fall to the ground. His cap is flung onto the pathway. One male participant in the engagement grabs hold of the cyclists bicycle and lifts it off the ground, and the fallen cyclist scrambles to his feet and yanks his bicycle away from the participant. After retrieving possession of his bicycle, the cyclist climbs back atop it and rides away."
tt0000063,movie,Dessinateur express,Dessinateur express,1896,\N,Short,3.3,29.0,nm0617588,"The following table provides the number assigned to each film in the Star Film Company catalogues, the English and French titles, and the subject of the drawing made in each film."
tt0000064,movie,Dessinateur: Chamberlain,Dessinateur: Chamberlain,1896,\N,Short,3.0,30.0,nm0617588,"The following table provides the number assigned to each film in the Star Film Company catalogues, the English and French titles, and the subject of the drawing made in each film."
tt0000065,movie,Dessinateur: Reine Victoria,Dessinateur: Reine Victoria,1896,\N,Short,3.2,30.0,nm0617588,"The following table provides the number assigned to each film in the Star Film Company catalogues, the English and French titles, and the subject of the drawing made in each film."
tt0000066,movie,Dessinateur: Von Bismark,Dessinateur: Von Bismark,1896,\N,Short,3.2,30.0,nm0617588,"The following table provides the number assigned to each film in the Star Film Company catalogues, the English and French titles, and the subject of the drawing made in each film."
tt0000075,movie,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au théâtre Robert Houdin,1896,1,"Horror,Short",6.3,2041.0,nm0617588,"A magician walks onto a stage and brings out his assistant. He spreads a newspaper on the floor (thus demonstrating that no trap door is hidden there) and places a chair on top of it. He has his assistant sit in the chair, and spreads a shawl over her. When he removes the shawl, she has disappeared. He then waves his arms in the air and conjures up a skeleton. He places the shawl over the skeleton and removes it to reveal his assistant, alive and well."
tt0000091,movie,The House of the Devil,Le manoir du diable,1896,3,"Horror,Short",6.7,3958.0,nm0617588,"Samantha Hughes, a cash-strapped college student, responds to an ad for a babysitting job for a Mr. Ulman. Her best friend Megan gives her a ride to the Ulmans remote mansion. Mr. Ulman reveals he actually needs Samantha to tend to his wifes mother. Samantha reluctantly agrees to a fee of $400. On the way home, Megan is shot in the head by a stranger, later identified as Victor.Samantha orders a pizza from a number Mr. Ulman recommended. After accidentally breaking a vase, she cleans up the mess and discovers a closet containing old family photographs. In one photograph, a family that is not the Ulmans stands next to the Volvo that she and Megan saw at the house. Later, three corpses are shown in one of the rooms, implying that they were the family in the photographs and the true residents of the house. Unnerved by the noises in the house and the arrival of the pizza, delivered by Victor, Samantha dials 911, but tells the operator it was an accidental call. Samantha then grabs a knife from the kitchen and goes upstairs to explore the creaking sounds. Drugs in the pizza cause her to pass out just as she sees movement behind a door on the third floor.Samantha comes to during a lunar eclipse and finds herself bound in the center of a pentagram on the floor. Mr. and Mrs. Ulman, along with their son Victor, begin a ritual. ""Mother"" is revealed to be a grotesque, witch-like figure. She slices her arm and pours her blood into a goat skull. She then uses it to draw occult symbols on Samanthas belly and forehead, and forces Samantha to drink the blood. Samantha stabs Mother and escapes. After finding Megans corpse in the kitchen, she kills Victor and Mrs. Ulman, but horrific images of Mother begin appearing in her mind. Mr. Ulman chases her into a nearby cemetery, telling her that she was chosen and destined to accept ""him.” Samantha threatens to shoot Ulman, but he is resigned, telling her it is too late. Instead, Samantha shoots herself in the head.The next day, TV news reports the strange lunar eclipse the night before, which confounded scientists with its abrupt ending. Samantha lies unconscious on a hospital bed having survived her suicide attempt. A nurse states that ""both of them"" will be fine, implying that she has been impregnated."
tt0000108,movie,Rip Leaving Sleepy Hollow,Rip Leaving Sleepy Hollow,1896,1,"Drama,Short",4.4,561.0,nm0005690,"The film features Joseph Jefferson as a neer-do-well, who wanders off one day into the Catskill Mountains, where he meets a group of odd men. He drinks some of their mysterious brew and passes out. When he wakes up, he finds that 20 years have passed. The film is compiled from a series of films produced in 1896, which consisted of:Rips Toast (AM&B Cat. #45)Rip Meets the Dwarf (AM&B Cat. #46)Rip and the DwarfRip Leaving Sleepy Hollow (AM&B Cat. #52)Rips Toast to Hudson and CrewRips Twenty Years Sleep (AM&B Cat. #50)Awakening of RipRip Passing Over HillThese films were added to the National Film Registry by the Library of Congress in 1995 and featured on the DVD release More Treasures from American Film Archives, 1894-1931."
tt0000111,movie,Rip's Toast,Rip's Toast,1896,1,"Drama,Short",4.4,565.0,nm0005690,"The film features Joseph Jefferson as a neer-do-well, who wanders off one day into the Catskill Mountains, where he meets a group of odd men. He drinks some of their mysterious brew and passes out. When he wakes up, he finds that 20 years have passed. The film is compiled from a series of films produced in 1896, which consisted of:Rips Toast (AM&B Cat. #45)Rip Meets the Dwarf (AM&B Cat. #46)Rip and the DwarfRip Leaving Sleepy Hollow (AM&B Cat. #52)Rips Toast to Hudson and CrewRips Twenty Years Sleep (AM&B Cat. #50)Awakening of RipRip Passing Over HillThese films were added to the National Film Registry by the Library of Congress in 1995 and featured on the DVD release More Treasures from American Film Archives, 1894-1931."
tt0000113,movie,Rip's Twenty Years' Sleep,Rip's Twenty Years' Sleep,1896,1,"Drama,Short",4.3,570.0,nm0005690,"The film features Joseph Jefferson as a neer-do-well, who wanders off one day into the Catskill Mountains, where he meets a group of odd men. He drinks some of their mysterious brew and passes out. When he wakes up, he finds that 20 years have passed. The film is compiled from a series of films produced in 1896, which consisted of:Rips Toast (AM&B Cat. #45)Rip Meets the Dwarf (AM&B Cat. #46)Rip and the DwarfRip Leaving Sleepy Hollow (AM&B Cat. #52)Rips Toast to Hudson and CrewRips Twenty Years Sleep (AM&B Cat. #50)Awakening of RipRip Passing Over HillThese films were added to the National Film Registry by the Library of Congress in 1995 and featured on the DVD release More Treasures from American Film Archives, 1894-1931."
tt0000131,movie,A Terrible Night,Une nuit terrible,1896,1,"Comedy,Horror,Short",5.7,1517.0,nm0617588,"A man tries to go to sleep, but is disturbed by a giant bug climbing up the bed and onto the wall. He attacks the bug with a broom and disposes of it in a chamber pot in a compartment of his bedside table."
tt0000138,movie,The Bewitched Inn,L'auberge ensorcelée,1897,2,"Comedy,Horror,Short",6.4,1213.0,nm0617588,"A traveler arrives in a small hotel room, complete with riding boots and a pith helmet. When he puts his luggage on the bed, it disappears immediately. Further magical confusions follow: when he sets down his helmet, it jumps to the floor and moves of its own accord before disappearing in its turn; when the traveler tries to light a candle, it jumps across the room and explodes; when he takes off his coat, it flies through the wall; when he tries to sit down, his chair changes place. Finally managing to sit down, the traveler takes off his boots, which walk away; when the traveler moves to the night table, it too disappears. The traveler prepares for bed and takes off his trousers, which fly through the ceiling. When he jumps into bed, it too disappears and reappears. The perplexed and irritated traveler gives up and dashes out of the room."
tt0000147,movie,The Corbett-Fitzsimmons Fight,The Corbett-Fitzsimmons Fight,1897,100,"Documentary,News,Sport",5.2,509.0,nm0714557,"The film no longer exists in its entirety; however, it is known from contemporary sources that the film included all fourteen rounds of the event, each round lasting three minutes.  This was not unusual for a boxing film, although each round would previously have been presented as a separate attraction.  What made this film exceptional is a five-minute introduction that showed former champion John L. Sullivan (whom Corbett defeated in 1892) and his manager, Billy Madden, introducing the event, the introduction of referee George Siler, and both boxers entering the ring in their robes.: 22 The one-minute rests between each round were captured on film and when it was reissued it included a ten-minute epilogue of the empty ring at the end of the fight, into which members of the audience eventually stormed. Even with these approximate timings, the film ran a minimum of 71 minutes, and sources generally report that it exceeded 90 or 100 minutes.  The film climaxes with Fitzsimmons hitting Corbett in the solar plexus for a knockout and Corbett crawling outside the space of the camera so that he is not visible above the waist.: 22"
tt0000160,movie,The Last Days of Pompeii,The Last Days of Pompeii,1900,\N,"Drama,Short",5.2,28.0,nm0095816,"Pompeii, A.D. 79. Athenian nobleman Glaucus arrives in the bustling and gaudy Roman town and quickly falls in love with the beautiful Greek Ione. Iones former guardian, the malevolent Egyptian sorcerer Arbaces, has designs on Ione and sets out to destroy their budding happiness. Arbaces has already ruined Iones sensitive brother Apaecides by luring him to join the vice-ridden priesthood of Isis. The blind slave Nydia is rescued from her abusive owners, Burbo and Stratonice, by Glaucus, for whom she secretly pines. Arbaces horrifies Ione by declaring his love for her, and flying into a rage when she refuses him. Glaucus and Apaecides rescue her from his grip, but Arbaces is struck down by an earthquake, a sign of Vesuvius coming eruption.Glaucus and Ione exult in their love, much to Nydias torment, while Apaecides finds a new religion in Christianity. Nydia unwittingly helps Julia, a rich young woman who has eyes for Glaucus, obtain a love potion from Arbaces to win Glaucuss love. But the love potion is really a poison that will turn Glaucus mad. Nydia steals the potion and administers it; Glaucus drinks only a small amount and begins raving wildly. Apaecides and Olinthus, an early Christian, determine to publicly reveal the deception of the cult of Isis. Arbaces, recovered from his wounds, overhears and stabs Apaecides to death; he then pins the crime on Glaucus, who has stumbled onto the scene. Arbaces has himself declared the legal guardian of Ione, who is convinced that Arbaces is her brothers murderer, and imprisons her at his mansion. He also imprisons Nydia, who discovers that there is an eyewitness to the murder who can prove Glaucuss innocence—the priest Calenus, who is yet a third prisoner of Arbaces. She smuggles a letter to Glaucuss friend Sallust, begging him to rescue them.Glaucus is convicted of the murder of Apaecides, Olinthus of heresy, and their sentence is to be fed to wild cats in the amphitheatre. All Pompeii gathers in the amphitheatre for the bloody gladiatorial games. Just as Glaucus is led into the arena with the lion—who, distressed by awareness of the coming eruption, spares his life and returns to his cage—Sallust bursts into the arena and reveals Arbacess plot. The crowd demands that Arbaces be thrown to the lion, but it is too late: Vesuvius begins to erupt. Ash and stone rain down, causing mass panic. Glaucus rescues Ione from the house of Arbaces, but in the chaotic streets they meet Arbaces, who tries to seize Ione but is killed by a lightning strike. Nydia leads Glaucus and Ione to safety on a ship in the Bay of Naples, as because of her blindness she is used to going about in utter darkness while sighted people are made helpless in the cloud of volcanic dust. The next morning she commits suicide by quietly slipping into the sea; death is preferable to the agony of her unrequited love for Glaucus.Ten years pass, and Glaucus writes to Sallust, now living in Rome, of his and Iones happiness in Athens. They have built Nydia a tomb and adopted Christianity."
tt0000160,movie,The Last Days of Pompeii,The Last Days of Pompeii,1900,\N,"Drama,Short",5.2,28.0,nm0095816,"Pompeii, A.D. 79. Athenian nobleman Glaucus arrives in the bustling and gaudy Roman town and quickly falls in love with the beautiful Greek Ione. Iones former guardian, the malevolent Egyptian sorcerer Arbaces, has designs on Ione and sets out to destroy their budding happiness. Arbaces has already ruined Iones sensitive brother Apaecides by luring him to join the vice-ridden priesthood of Isis. The blind slave Nydia is rescued from her abusive owners, Burbo and Stratonice, by Glaucus, for whom she secretly pines. Arbaces horrifies Ione by declaring his love for her, and flying into a rage when she refuses him. Glaucus and Apaecides rescue her from his grip, but Arbaces is struck down by an earthquake, a sign of Vesuvius coming eruption.Glaucus and Ione exult in their love, much to Nydias torment, while Apaecides finds a new religion in Christianity. Nydia unwittingly helps Julia, a rich young woman who has eyes for Glaucus, obtain a love potion from Arbaces to win Glaucuss love. But the love potion is really a poison that will turn Glaucus mad. Nydia steals the potion and administers it; Glaucus drinks only a small amount and begins raving wildly. Apaecides and Olinthus, an early Christian, determine to publicly reveal the deception of the cult of Isis. Arbaces, recovered from his wounds, overhears and stabs Apaecides to death; he then pins the crime on Glaucus, who has stumbled onto the scene. Arbaces has himself declared the legal guardian of Ione, who is convinced that Arbaces is her brothers murderer, and imprisons her at his mansion. He also imprisons Nydia, who discovers that there is an eyewitness to the murder who can prove Glaucuss innocence—the priest Calenus, who is yet a third prisoner of Arbaces. She smuggles a letter to Glaucuss friend Sallust, begging him to rescue them.Glaucus is convicted of the murder of Apaecides, Olinthus of heresy, and their sentence is to be fed to wild cats in the amphitheatre. All Pompeii gathers in the amphitheatre for the bloody gladiatorial games. Just as Glaucus is led into the arena with the lion—who, distressed by awareness of the coming eruption, spares his life and returns to his cage—Sallust bursts into the arena and reveals Arbacess plot. The crowd demands that Arbaces be thrown to the lion, but it is too late: Vesuvius begins to erupt. Ash and stone rain down, causing mass panic. Glaucus rescues Ione from the house of Arbaces, but in the chaotic streets they meet Arbaces, who tries to seize Ione but is killed by a lightning strike. Nydia leads Glaucus and Ione to safety on a ship in the Bay of Naples, as because of her blindness she is used to going about in utter darkness while sighted people are made helpless in the cloud of volcanic dust. The next morning she commits suicide by quietly slipping into the sea; death is preferable to the agony of her unrequited love for Glaucus.Ten years pass, and Glaucus writes to Sallust, now living in Rome, of his and Iones happiness in Athens. They have built Nydia a tomb and adopted Christianity."
tt0000160,movie,The Last Days of Pompeii,The Last Days of Pompeii,1900,\N,"Drama,Short",5.2,28.0,nm0095816,"Pompeii, A.D. 79. Athenian nobleman Glaucus arrives in the bustling and gaudy Roman town and quickly falls in love with the beautiful Greek Ione. Iones former guardian, the malevolent Egyptian sorcerer Arbaces, has designs on Ione and sets out to destroy their budding happiness. Arbaces has already ruined Iones sensitive brother Apaecides by luring him to join the vice-ridden priesthood of Isis. The blind slave Nydia is rescued from her abusive owners, Burbo and Stratonice, by Glaucus, for whom she secretly pines. Arbaces horrifies Ione by declaring his love for her, and flying into a rage when she refuses him. Glaucus and Apaecides rescue her from his grip, but Arbaces is struck down by an earthquake, a sign of Vesuvius coming eruption.Glaucus and Ione exult in their love, much to Nydias torment, while Apaecides finds a new religion in Christianity. Nydia unwittingly helps Julia, a rich young woman who has eyes for Glaucus, obtain a love potion from Arbaces to win Glaucuss love. But the love potion is really a poison that will turn Glaucus mad. Nydia steals the potion and administers it; Glaucus drinks only a small amount and begins raving wildly. Apaecides and Olinthus, an early Christian, determine to publicly reveal the deception of the cult of Isis. Arbaces, recovered from his wounds, overhears and stabs Apaecides to death; he then pins the crime on Glaucus, who has stumbled onto the scene. Arbaces has himself declared the legal guardian of Ione, who is convinced that Arbaces is her brothers murderer, and imprisons her at his mansion. He also imprisons Nydia, who discovers that there is an eyewitness to the murder who can prove Glaucuss innocence—the priest Calenus, who is yet a third prisoner of Arbaces. She smuggles a letter to Glaucuss friend Sallust, begging him to rescue them.Glaucus is convicted of the murder of Apaecides, Olinthus of heresy, and their sentence is to be fed to wild cats in the amphitheatre. All Pompeii gathers in the amphitheatre for the bloody gladiatorial games. Just as Glaucus is led into the arena with the lion—who, distressed by awareness of the coming eruption, spares his life and returns to his cage—Sallust bursts into the arena and reveals Arbacess plot. The crowd demands that Arbaces be thrown to the lion, but it is too late: Vesuvius begins to erupt. Ash and stone rain down, causing mass panic. Glaucus rescues Ione from the house of Arbaces, but in the chaotic streets they meet Arbaces, who tries to seize Ione but is killed by a lightning strike. Nydia leads Glaucus and Ione to safety on a ship in the Bay of Naples, as because of her blindness she is used to going about in utter darkness while sighted people are made helpless in the cloud of volcanic dust. The next morning she commits suicide by quietly slipping into the sea; death is preferable to the agony of her unrequited love for Glaucus.Ten years pass, and Glaucus writes to Sallust, now living in Rome, of his and Iones happiness in Athens. They have built Nydia a tomb and adopted Christianity."
tt0000170,movie,The Twins' Tea Party,The Twins' Tea Party,1896,1,"Comedy,Short",5.1,276.0,nm0666972,"The film features twin girls squabbling over a piece of cake at a tea party. One girl slaps the other a few times, arguing over the cake. Then, when the other girl cries, the first girl feels sorry and makes up, hugging and kissing her."
tt0000175,movie,A Sea Cave Near Lisbon,A Sea Cave Near Lisbon,1896,1,"Documentary,Short",5.0,234.0,nm0795060,"A Sea Cave Near Lisbon consists of a single shot, looking out through the entrance of the Boca do Inferno (Hells Mouth) cave near Lisbon. Waves enter the cave, breaking on the rocks at the caves mouth. The film lasts 13 seconds."
tt0000178,movie,The Cavalier's Dream,The Cavalier's Dream,1898,1,"Horror,Short",5.2,229.0,nm0692105,"A cavalier sits asleep at a bare table; an old witch enters, raps three times, then disappears; the cavalier sees the table spread for a sumptuous repast. Mephistopheles appears, then the old witch, who suddenly shapeshifts into a beautiful young girl. By the end of the film, the cavalier is surrounded by a dancing ring of hooded figures, who are urged on by Mephistopheles. The dancers vanish, and in the final moments, the cavalier wakes up from his dream. The changes and magical appearances are startling and instantaneous."
tt0000181,movie,Cinderella,Cinderella,1898,\N,"Fantasy,Short",6.6,61.0,nm0808310,
tt0000181,movie,Cinderella,Cinderella,1898,\N,"Fantasy,Short",6.6,61.0,nm0808310,
tt0000181,movie,Cinderella,Cinderella,1898,\N,"Fantasy,Short",6.6,61.0,nm0808310,
tt0000181,movie,Cinderella,Cinderella,1898,\N,"Fantasy,Short",6.6,61.0,nm0808310,
tt0000181,movie,Cinderella,Cinderella,1898,\N,"Fantasy,Short",6.6,61.0,nm0808310,
tt0000183,movie,The Corsican Brothers,The Corsican Brothers,1898,\N,"Drama,Short",5.9,36.0,nm0808310,"In March 1841, the narrator travels to Corsica and stays at the home of the widow Savilia de Franchi, who lives near Olmeto and Sollacaro. She is the mother of formerly conjoined twins Louis and Lucien. Louis is a lawyer in Paris, while Lucien clings to his Corsican roots and stays at his mothers home.The brothers were separated at birth by a doctor with his scalpel, but Louis and Lucien can feel each others emotions, even at a distance. Lucien explains he has a mission to undertake, with reluctance. He has to mediate a vendetta between the Orlandi and Colona families and invites the narrator to accompany him and meet the head of the Orlandi family."
tt0000183,movie,The Corsican Brothers,The Corsican Brothers,1898,\N,"Drama,Short",5.9,36.0,nm0808310,"In March 1841, the narrator travels to Corsica and stays at the home of the widow Savilia de Franchi, who lives near Olmeto and Sollacaro. She is the mother of formerly conjoined twins Louis and Lucien. Louis is a lawyer in Paris, while Lucien clings to his Corsican roots and stays at his mothers home.The brothers were separated at birth by a doctor with his scalpel, but Louis and Lucien can feel each others emotions, even at a distance. Lucien explains he has a mission to undertake, with reluctance. He has to mediate a vendetta between the Orlandi and Colona families and invites the narrator to accompany him and meet the head of the Orlandi family."
tt0000183,movie,The Corsican Brothers,The Corsican Brothers,1898,\N,"Drama,Short",5.9,36.0,nm0808310,"In March 1841, the narrator travels to Corsica and stays at the home of the widow Savilia de Franchi, who lives near Olmeto and Sollacaro. She is the mother of formerly conjoined twins Louis and Lucien. Louis is a lawyer in Paris, while Lucien clings to his Corsican roots and stays at his mothers home.The brothers were separated at birth by a doctor with his scalpel, but Louis and Lucien can feel each others emotions, even at a distance. Lucien explains he has a mission to undertake, with reluctance. He has to mediate a vendetta between the Orlandi and Colona families and invites the narrator to accompany him and meet the head of the Orlandi family."
tt0000225,movie,Beauty and the Beast,La belle et la bête,1899,\N,"Family,Fantasy,Romance",4.9,38.0,\N,
tt0000229,movie,Casey at the Bat,Casey at the Bat,1899,1,"Short,Sport",4.5,116.0,\N,"A baseball team from the fictional town of ""Mudville"" (the home team) is losing by two runs in its last inning. Both the team and its fans, a crowd of 5,000, believe that they can win if Casey, Mudvilles star player, gets to bat. However, Casey is scheduled to be the fifth batter of the inning, and the first two batters (Cooney and Barrows) fail to get on base. The next two batters (Flynn and Jimmy Blake) are perceived to be weak hitters with little chance of reaching base to allow Casey a chance to bat.Surprisingly, Flynn hits a single, and Blake follows with a double that allows Flynn to reach third base.  Both runners are now in scoring position and Casey represents the potential winning run. Casey is so sure of his abilities that he does not swing at the first two pitches, both called strikes. On the last pitch, the overconfident Casey strikes out swinging, ending the game and sending the crowd home unhappy."
tt0000229,movie,Casey at the Bat,Casey at the Bat,1899,1,"Short,Sport",4.5,116.0,\N,"A baseball team from the fictional town of ""Mudville"" (the home team) is losing by two runs in its last inning. Both the team and its fans, a crowd of 5,000, believe that they can win if Casey, Mudvilles star player, gets to bat. However, Casey is scheduled to be the fifth batter of the inning, and the first two batters (Cooney and Barrows) fail to get on base. The next two batters (Flynn and Jimmy Blake) are perceived to be weak hitters with little chance of reaching base to allow Casey a chance to bat.Surprisingly, Flynn hits a single, and Blake follows with a double that allows Flynn to reach third base.  Both runners are now in scoring position and Casey represents the potential winning run. Casey is so sure of his abilities that he does not swing at the first two pitches, both called strikes. On the last pitch, the overconfident Casey strikes out swinging, ending the game and sending the crowd home unhappy."
tt0000229,movie,Casey at the Bat,Casey at the Bat,1899,1,"Short,Sport",4.5,116.0,\N,"A baseball team from the fictional town of ""Mudville"" (the home team) is losing by two runs in its last inning. Both the team and its fans, a crowd of 5,000, believe that they can win if Casey, Mudvilles star player, gets to bat. However, Casey is scheduled to be the fifth batter of the inning, and the first two batters (Cooney and Barrows) fail to get on base. The next two batters (Flynn and Jimmy Blake) are perceived to be weak hitters with little chance of reaching base to allow Casey a chance to bat.Surprisingly, Flynn hits a single, and Blake follows with a double that allows Flynn to reach third base.  Both runners are now in scoring position and Casey represents the potential winning run. Casey is so sure of his abilities that he does not swing at the first two pitches, both called strikes. On the last pitch, the overconfident Casey strikes out swinging, ending the game and sending the crowd home unhappy."
tt0000230,movie,Cinderella,Cendrillon,1899,6,"Drama,Family,Fantasy",6.5,1799.0,nm0617588,
tt0000230,movie,Cinderella,Cendrillon,1899,6,"Drama,Family,Fantasy",6.5,1799.0,nm0617588,
tt0000230,movie,Cinderella,Cendrillon,1899,6,"Drama,Family,Fantasy",6.5,1799.0,nm0617588,
tt0000230,movie,Cinderella,Cendrillon,1899,6,"Drama,Family,Fantasy",6.5,1799.0,nm0617588,
